n_cells_0,n_cells_1,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,25,0.28284271247461906,1,4,0.04231896143660075,0.2082261823214265,0.05983154622036346,22.848341844301416
10,10,100,0.14142135623730953,1,4,0.009824266576493637,0.09364718244590135,0.01567245634977211,86.82812401176602
20,20,400,0.07071067811865477,1,4,0.0024307559710321615,0.0456155189121279,0.0040597430523698075,344.5727266699321
