n_cells_0,n_cells_1,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,25,0.28284271247461906,1,4,0.05842851992454719,0.18578076439959734,0.07552951423137477,11.566949483672083
10,10,100,0.14142135623730953,1,4,0.013343382607467508,0.09119095110992176,0.01832362410580854,41.12464166567893
20,20,400,0.07071067811865477,1,4,0.0031900372642952295,0.04540383325926145,0.0044964922881776575,160.2796185123401
