n_cells_total,n_cells_0,h,errL2,errH1semi,errLinf,cond
5,5,0.2,0.025670554863419816,0.18210145639173902,0.03136666580279348,176.47857015531264
10,10,0.1,0.005434105945055522,0.09074723972133046,0.006969846230465752,773.4522405617265
20,20,0.05,0.0012467115271649013,0.04534970181598703,0.0016270596989250421,3171.8960288142507
40,40,0.025,0.00029875399284324866,0.02267291933502706,0.00039199161433782026,12771.137477340917
80,80,0.0125,7.315383089324189e-05,0.011336289006133716,9.612770789056532e-05,51170.76281488023
