n_cells_total,n_cells_0,h,errL2,errH1semi,errLinf,cond
5,5,0.2,0.0293294900206315,0.18019081792458183,0.03375135787325856,2555.889697234033
10,10,0.1,0.005404104278218998,0.09054092411706363,0.006665809425168756,43101.64957618155
20,20,0.05,0.0011605922867297402,0.04532634094589278,0.0014645122135889855,700662.7883475656
40,40,0.025,0.0002708626035730495,0.022670161262566463,0.0003412345227034991,11259983.711839763
80,80,0.0125,6.564244252145403e-05,0.01133595466531263,8.221890258953891e-05,180368594.94500732
