n_cells_total,n_cells_0,h,errL2,errH1semi,errLinf,cond
5,5,0.2,0.0026979030867942747,0.01462998173298503,0.00299351342719859,17503267.956089716
10,10,0.1,0.00021519099356325086,0.0036730018115522655,0.0002817690560731452,4702996781.500643
20,20,0.05,2.332027830669364e-05,0.000919222024933551,3.198325022046504e-05,1221941778997.0098
40,40,0.025,2.8157910040573905e-06,0.00022986626740359968,3.893940278593119e-06,314111223925460.3
80,80,0.0125,3.4913827678607813e-07,5.7470365016706995e-05,4.834722508106937e-07,7.908780362362704e+16
