n_cells_total,n_cells_0,h,errL2,errH1semi,errLinf,cond
5,5,0.2,0.011604749499231347,0.015962563180726693,0.011136511843974586,160072.47608268022
10,10,0.1,0.002656466365734893,0.00393197780259736,0.002595838262377424,2789746.5995508987
20,20,0.05,0.0006271242263745781,0.0009744031596250345,0.0006188731263361947,45696813.13673653
40,40,0.025,0.00015188514394389645,0.0002424784643236068,0.00015082242642399697,735701835.1759367
80,80,0.0125,3.734726541495527e-05,6.047687429840414e-05,3.72128488489225e-05,11790075480.86614
