n_cells_total,n_cells_0,h,errL2,errH1semi,errLinf,cond
5,5,0.2,0.0024286798427548516,0.02923309117258843,0.006769394587518812,590593.2663125659
10,10,0.1,0.00022476302603727675,0.005850630268861596,0.0008468310397659184,9876716.198943062
20,20,0.05,2.163476407969329e-05,0.001253641698005729,0.00010585304352808667,160381744.09937093
40,40,0.025,2.1947861376996227e-06,0.0002841961361657594,1.3231483304867136e-05,2576702806.4314284
80,80,0.0125,2.3624307505017695e-07,6.712055194365405e-05,1.6539298752669338e-06,41272188167.804726
