n_cells_total,n_cells_0,h,errL2,errH1semi,errLinf,cond
5,5,0.2,0.037929286035826716,0.2215920461555841,0.048950132794925716,557.4860544576846
10,10,0.1,0.008959280760557234,0.09481072983190021,0.011777145142381025,2368.2157391468527
20,20,0.05,0.0022432749611398977,0.04570717317464816,0.0030485638806266057,9591.403987879741
40,40,0.025,0.0005623459723254925,0.02270601401514364,0.0007688186132191623,38445.160384504255
80,80,0.0125,0.0001407229607168628,0.011339660465069958,0.00019262522986167582,153756.7574823559
