k,n_b,n_cells_0,n_cells_total,h,errL2,errH1semi,errLinf,cond
1,2,10,10,0.1,0.010242072941801019,0.09097565366129884,0.012514727215452435,82.85153564659188
2,3,10,10,0.1,0.008473952342548654,0.00568189630207272,0.008358938784899942,346.2656727257932
3,4,10,10,0.1,1.0716987814218208e-05,9.832752102178136e-05,1.5106982518734089e-05,1085.3488794934435
