k,n_b,n_cells_0,n_cells_total,h,errL2,errH1semi,errLinf,cond
1,2,20,20,0.05,0.0022443423260967658,0.04535545848069331,0.003065250471050782,648.8384427971392
2,3,20,20,0.05,1.4451697208836916e-05,0.000991063121460211,3.557783808630268e-05,1944.404404370018
3,4,20,20,0.05,2.0173518551739566e-07,1.222669226550629e-05,3.1535322579306247e-07,4609.14650359249
