k,n_b,n_cells_0,n_cells_total,h,errL2,errH1semi,errLinf,cond
1,2,10,10,0.1,0.008873221361709059,0.09083184716025657,0.012036263668149711,162.54467744394663
2,3,10,10,0.1,0.00011896733951660351,0.0041063631452924,0.00028384466640446785,485.42438599661824
3,4,10,10,0.1,3.2093541002091766e-06,9.859887058207222e-05,4.963478670583168e-06,1152.6251093529377
