k,n_b,n_cells_0,n_cells_total,h,errL2,errH1semi,errLinf,cond
1,2,5,5,0.2,0.04663787718030048,0.18409809420693943,0.054335807529739884,22.089300742748325
2,3,5,5,0.2,0.03286171710648579,0.022886646225490075,0.03283824455450343,88.02704622643074
3,4,5,5,0.2,0.0001796568405302541,0.0008032259616160088,0.0002543823938519678,272.08930536824863
