n_cells_0,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,0.2,2,3,0.0328617171064858,0.02288664622549007,0.03283824455450343,88.02704622643074
10,10,0.1,2,3,0.008473952342548654,0.00568189630207272,0.008358938784899942,346.26567272579166
20,20,0.05,2,3,0.0021034694114880235,0.0014030809175640383,0.0020891338774615244,1379.5582399673222
40,40,0.025,2,3,0.0005209235078881069,0.0003479731444663931,0.000519174794635584,5513.920816235394
80,80,0.0125,2,3,0.00012942921526309676,8.661037699528171e-05,0.00012921474495897726,22052.75003710929
