n_cells_0,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,0.2,1,2,0.03370518211022934,0.1831096661656396,0.04687765432400407,41.048472496745646
10,10,0.1,1,2,0.008873221361709059,0.09083184716025657,0.012036263668149711,162.54467744394663
20,20,0.05,1,2,0.0022443423260966448,0.0453554584806933,0.003065250471050645,648.838442797144
40,40,0.025,1,2,0.0005626160349871462,0.02267328933604948,0.0007698720332128852,2594.180545403385
80,80,0.0125,1,2,0.00014074616046555577,0.011336312375038706,0.0001926912342785141,10375.635019835954
