n_cells_0,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,0.2,2,3,0.0026979030867943614,0.014629981732985025,0.002993513427198316,17503268.018232513
10,10,0.1,2,3,0.00021519099356352733,0.00367300181155226,0.0002817690560733507,4702996948.989293
20,20,0.05,2,3,2.3320278306847837e-05,0.0009192220249335444,3.198325022063625e-05,1222012552265.2937
40,40,0.025,2,3,2.8157910038362577e-06,0.0002298662674035993,3.893940278644482e-06,318841086544308.94
80,80,0.0125,2,3,3.491382003988594e-07,5.7470365016709706e-05,4.83471662616557e-07,8.559204462335546e+17
