n_cells_0,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,0.2,1,2,0.04663787718030048,0.18409809420693943,0.054335807529739884,22.089300742748346
10,10,0.1,1,2,0.010242072941801019,0.09097565366129884,0.012514727215452435,82.85153564659188
20,20,0.05,1,2,0.002401694453395974,0.04537693939837256,0.003003378773207955,325.9795423078976
40,40,0.025,1,2,0.0005814974463445785,0.022676241016333646,0.000735254686272888,1298.6262685410657
80,80,0.0125,1,2,0.0001430595975809196,0.01133669897259437,0.00018186501506282227,5189.337009814431
