n_cells_0,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,0.2,1,2,0.02932949002063177,0.18019081792458183,0.03375135787325897,2555.8896972340917
10,10,0.1,1,2,0.005404104278219538,0.09054092411706363,0.006665809425169304,43101.64957617107
20,20,0.05,1,2,0.0011605922867301704,0.04532634094589279,0.0014645122135895335,700662.7883492794
40,40,0.025,1,2,0.00027086260357231585,0.022670161262566456,0.0003412345227021293,11259983.710903384
80,80,0.0125,1,2,6.564244252075922e-05,0.01133595466531263,8.221890258762133e-05,180368595.21763712
