n_cells_0,n_cells_total,h,k,n_b,errL2,errH1semi,errLinf,cond
5,5,0.2,2,3,0.001010468721931619,0.017549639228354418,0.002243789054835526,120.77835880678009
10,10,0.1,2,3,0.00011896733951660354,0.0041063631452924,0.00028384466640446785,485.42438599661665
20,20,0.05,2,3,1.4451697208836913e-05,0.000991063121460147,3.557783808630268e-05,1944.404404370018
40,40,0.025,2,3,1.7818901540546956e-06,0.00024326318776220457,4.4502349368563646e-06,7780.484787378304
80,80,0.0125,2,3,2.2125806868033617e-07,6.024736105814544e-05,5.563730127676978e-07,31124.876312700722
